"Rank","Bank","Headquarters location","Number of deals (2010-2019)","Number of companies lending & underwriting","Total value of loans & underwriting","Value share of loans of SUP polymer production","Value share of equity underwriting of SUP polymer production","Value share of bonds underwriting of SUP polymer production","Total value share of lending & underwriting of SUP polymer production"
"1","Barclays","United Kingdom","477","23","68.3","3.1","0.7","1.5","5.4"
"2","JPMorgan Chase","United States","636","28","90.5","2.7","0.3","2.0","5.0"
"3","Citigroup","United States","746","32","96.7","2.8","0.4","1.9","5.1"
"4","Bank of America","United States","561","27","73.3","2.9","0.1","1.2","4.2"
"5","HSBC","United Kingdom","600","36","68.5","3.1","0.2","1.4","4.7"
"6","Mitsubishi UFJ Financial","Japan","599","32","54.3","2.1","0.0","0.8","2.9"
"7","Deutsche Bank","Germany","340","23","41.7","1.0","0.3","0.9","2.2"
"8","Mizuho Financial","Japan","571","33","49.1","1.5","0.0","0.7","2.3"
"9","SMBC Group","Japan","495","32","47.4","1.5","0.0","0.6","2.2"
"10","Goldman Sachs","United States","320","22","37.5","0.5","0.4","0.7","1.6"
"11","UniCredit","Italy","173","14","17.3","1.1","0.1","1.0","2.1"
"12","BNP Paribas","France","445","29","42.5","1.0","0.0","0.7","1.7"
"13","Credit Suisse","Switzerland","167","15","17.9","0.8","0.2","0.3","1.3"
"14","Morgan Stanley","United States","377","22","40.9","0.3","0.3","1.0","1.6"
"15","Crédit Agricole","France","322","25","27.3","1.0","0.0","0.6","1.7"
"16","Société Générale","France","321","24","31.5","1.0","0.0","0.6","1.6"
"17","ING Group","Netherlands","178","22","11.5","1.0","–","0.3","1.3"
"18","NatWest","United Kingdom","163","22","15.4","0.5","0.0","0.1","0.7"
"19","UBS","Switzerland","117","21","13.7","0.3","0.1","0.3","0.7"
"20","Bangkok Bank","Thailand","65","5","5.2","0.4","0.1","0.4","0.9"
"21","Lloyds Banking Group","United Kingdom","79","7","7.9","0.4","–","0.2","0.6"
"22","Raiffeisen Bank International","Austria","63","4","3.4","0.5","0.0","0.4","0.9"
"23","Santander","Spain","143","14","15.0","0.3","0.0","0.5","0.8"
"24","Siam Commercial Bank","Thailand","65","5","6.5","0.3","0.0","0.5","0.8"
"25","Industrial and Commercial Bank of China","China","203","20","19.2","0.6","–","0.2","0.8"
"26","Shanghai Pudong Development Bank","China","73","7","8.9","0.4","–","0.5","0.8"
"27","Erste Group","Austria","65","3","3.1","0.4","0.0","0.4","0.8"
"28","Wells Fargo","United States","310","14","15.1","0.5","0.0","0.3","0.8"
"29","Scotiabank","Canada","206","16","10.8","0.8","0.0","0.2","1.1"
"30","Krung Thai Bank","Thailand","65","4","5.7","0.3","0.0","0.4","0.7"
