"Rank","Polymer Producer","No. of assets","Production of in-scope polymers","Flexible format contribution to SUP waste","Rigid format contribution to SUP waste","Total contribution to SUP waste"
"1","ExxonMobil","55","11.2","4.7","1.2","5.9"
"2","Sinopec","81","11.5","4.3","1.3","5.6"
"3","Dow","54","9.3","4.7","0.9","5.6"
"4","Indorama Ventures","26","5.1","0.2","4.5","4.6"
"5","Saudi Aramco","56","9.5","3.2","1.1","4.3"
"6","PetroChina","59","8.8","3.3","0.8","4"
"7","LyondellBasell","69","9.3","2.1","1.8","3.9"
"8","Reliance Industries","26","5.5","1.8","1.3","3.1"
"9","Braskem","40","6.7","1.9","1.1","3"
"10","Alpek SA de CV","12","2.5","0","2.3","2.3"
"11","Borealis","29","5","1.5","0.7","2.2"
"12","Lotte Chemical","26","4.1","1.1","1","2.1"
"13","INEOS","27","4.8","1","1","2"
"14","Total","33","4.5","1","0.9","1.9"
"15","Jiangsu Hailun Petrochemical","1","1.7","0","1.6","1.6"
"16","Far Eastern New Century","7","1.6","0","1.6","1.6"
"17","Formosa Plastics Corporation","22","3.6","1","0.6","1.6"
"18","China Energy Investment Group","12","3.4","1.2","0.3","1.5"
"19","PTT","17","3.1","1.1","0.3","1.5"
"20","China Resources","4","1.4","0","1.3","1.3"
"21","Nova Chemicals Corporation","8","1.9","1","0.2","1.2"
"22","Siam Cement Group","20","2.4","0.9","0.3","1.1"
"23","Phillips 66","22","2.4","0.6","0.5","1"
"24","Zhejiang Wankai","1","1","0","1","1"
"25","Sumitomo Chemical","23","2","0.7","0.3","1"
"26","Jiangyin Chengxing Industrial Group","1","1","0","0.9","0.9"
"27","Chevron Corporation","23","2.2","0.5","0.4","0.9"
"28","Hanwha Chemical","16","1.6","0.7","0.2","0.9"
"29","China Coal","12","1.8","0.7","0.1","0.8"
"30","Rongsheng Group","4","1.2","0.2","0.7","0.8"
"31","Mitsubishi Chemical Corporation","20","1.7","0.5","0.4","0.8"
"32","SIBUR","13","1.3","0.4","0.4","0.8"
"33","Abu Dhabi National Oil Company","10","1.9","0.6","0.2","0.8"
"34","GAIL India","14","1.6","0.6","0.1","0.7"
"35","LG Chem","7","1.4","0.5","0.2","0.7"
"36","Westlake Chemical Corporation","10","1","0.5","0.1","0.6"
"37","Mitsui Chemicals","17","1.1","0.2","0.4","0.6"
"38","Sasol","5","1.2","0.5","0.1","0.6"
"39","Zhejiang Hengyi Group","2","0.6","0","0.6","0.6"
"40","Eni","8","1","0.5","0.1","0.6"
"41","Yanchang Group","7","1.5","0.4","0.1","0.6"
"42","Repsol","12","1.1","0.4","0.2","0.6"
"43","Indian Oil Corporation","6","1.2","0.5","0.1","0.6"
"44","Nan Ya Plastics Coporation","2","0.5","0","0.5","0.5"
"45","SK Innovation Co","10","1.1","0.4","0.1","0.5"
"46","Oil and Natural Gas Corporation","6","1.2","0.4","0.1","0.5"
"47","Octal","1","0.6","0","0.5","0.5"
"48","JBF Industries","2","0.5","0","0.5","0.5"
"49","MOL Hungarian Oil and Gas","7","1.1","0.3","0.2","0.5"
"50","Bakhtar Petrochemical","6","1","0.4","0.1","0.5"
"51","Shell","14","1","0.3","0.1","0.4"
"52","Neo Group","1","0.4","0","0.4","0.4"
"53","Haldia Petrochemicals Ltd","5","0.9","0.3","0.1","0.4"
"54","China National Offshore Oil Corporation","6","0.8","0.3","0.1","0.4"
"55","Tasnee","4","0.9","0.3","0.1","0.4"
"56","Eastern Petrochemical Company","4","0.7","0.3","0","0.4"
"57","Qatar Petroleum","14","0.6","0.3","0.1","0.4"
"58","Shinkong","2","0.4","0","0.4","0.4"
"59","Sahara International Petrochemical","4","0.8","0.2","0.1","0.3"
"60","Formosa Chemicals and Fibre Corporation","4","0.6","0.1","0.2","0.3"
"61","Korea Petrochemical Industrial","6","0.9","0.2","0.1","0.3"
"62","Gatron Industries","1","0.4","0","0.3","0.3"
"63","Equate Petrochemical Company","5","0.6","0.1","0.2","0.3"
"64","Baofeng","6","0.7","0.2","0.1","0.3"
"65","National Petrochemical Company (Saudi Arabia)","3","1","0.2","0.1","0.3"
"66","PT Chandra Asri Petrochemical","8","0.6","0.2","0.1","0.3"
"67","PKN Orlen","6","0.8","0.1","0.2","0.3"
"68","Dhunseri Petrochem","2","0.3","0","0.3","0.3"
"69","Bazan Group","4","0.7","0.2","0.1","0.3"
"70","Daelim Group","7","0.7","0.2","0.1","0.3"
"71","KAP Industrial Holdings","3","0.5","0","0.2","0.3"
"72","Petroleos Mexicanos","7","0.5","0.2","0.1","0.3"
"73","Pucheng Clean Energy","3","0.6","0.2","0.1","0.3"
"74","Qatar Petrochemical Company","4","0.4","0.2","0","0.3"
"75","TK Chemical","1","0.3","0","0.3","0.3"
"76","Saudi Kayan","3","0.7","0.2","0.1","0.3"
"77","Oriental Energy","2","0.7","0.2","0.1","0.3"
"78","Jam Petrochemical Company","4","0.7","0.2","0.1","0.3"
"79","Nizhnekamskneftekhim","3","0.4","0.2","0","0.3"
"80","Prime Polymer","2","0.4","0.3","0","0.3"
"81","Yansab","3","0.6","0.2","0","0.3"
"82","Petronas","5","0.5","0.2","0.1","0.2"
"83","Amir Kabir Petrochemical Company","4","0.5","0.2","0","0.2"
"84","State Oil Company of Azerbaijan Republic","7","0.5","0.2","0.1","0.2"
"85","Henan Coal Chemical Industry Group","1","0.2","0","0.2","0.2"
"86","Fude Energy","2","0.6","0.2","0.1","0.2"
"87","USI Group","5","0.4","0.2","0","0.2"
"88","Ecopetrol","3","0.5","0.1","0.1","0.2"
"89","Idemitsu Kosan","11","0.5","0.1","0.1","0.2"
"90","Kazanorgsintez","5","0.6","0.2","0.1","0.2"
"91","HPCL-Mittal Energy Ltd","1","0.5","0.2","0","0.2"
"92","Pan Asia PET Resin","1","0.2","0","0.2","0.2"
"93","Koksan","1","0.2","0","0.2","0.2"
"94","Novapet","1","0.2","0","0.2","0.2"
"95","Xingxing","2","0.5","0.1","0.1","0.2"
"96","Sanyuan","2","0.5","0.1","0.1","0.2"
"97","North Huajin","4","0.6","0.1","0.1","0.2"
"98","Shahid Tondgooian Petrochemical","4","0.2","0","0.2","0.2"
