"Rank","Equity owner of companies producing SUP polymers","Location","Investor Type","Number of companies invested","Value of shareholdings","Value share of SUP polymer production"
"1","Kingdom of Saudi Arabia","Saudi Arabia","State Owner","23","1,896.4","31.0"
"2","People’s Republic of China","China","State Owner","28","192.2","6.0"
"3","Emirate of Abu Dhabi","UAE","State Owner","8","N/A","4.5"
"4","Ambani Family","India","Private Institution or Individual","1","65.8","2.5"
"5","Vanguard Group","United States","Institutional Asset Manager","97","68.9","2.2"
"6","Canopus International","Thailand","Private Institution or Individual","1","4.7","2.2"
"7","BlackRock","United States","Institutional Asset Manager","88","65.9","1.9"
"8","Capital Group","United States","Institutional Asset Manager","19","28.9","1.8"
"9","Mr James Arthur Ratcliffe","Monaco","Private Institution or Individual","1","N/A","1.8"
"10","East Step International Holdings","Hong Kong","Private Institution or Individual","1","9.1","1.6"
"11","Zhejiang Rongsheng Holding Group","China","Private Institution or Individual","1","18.5","1.3"
"12","State of Qatar","Qatar","State Owner","5","5.2","1.3"
"13","Republic of India","India","State Owner","8","42.3","1.2"
"14","State Street","United States","Institutional Asset Manager","91","30.9","1.0"
"15","Access Industries","United States","Private Institution or Individual","1","6.9","1.0"
"16","Magna Resources Corp","Singapore","Private Institution or Individual","1","5.7","0.9"
"17","Chang Gung Medical Foundation","Taiwan","Private Institution or Individual","3","7.5","0.8"
"18","TTWF","United States","Private Institution or Individual","1","7.8","0.7"
"19","Federation of Malaysia","Malaysia","State Owner","6","11.6","0.7"
"20","PPH Polymer Products Holdings","Cyprus","Private Institution or Individual","1","N/A","0.6"
"21","King Maha Vajiralongkorn","Thailand","State Owner","2","6.4","0.6"
"22","Mr Andrew Christopher Currie","Monaco","Private Institution or Individual","1","N/A","0.6"
"23","Mr John Reece","Monaco","Private Institution or Individual","1","N/A","0.5"
"24","FMR","United States","Institutional Asset Manager","81","16.4","0.5"
"25","Mr Leonid Viktorovich Mikhelson","N/A","Private Institution or Individual","1","N/A","0.5"
"26","Kingdom of Norway","Norway","State Owner","71","20.2","0.5"
"27","Credit Suisse Group","Switzerland","Institutional Asset Manager","64","3.9","0.4"
"28","Kingdom of Thailand","Thailand","State Owner","4","27.1","0.4"
"29","Republic of Korea","South Korea","State Owner","16","12.5","0.4"
